time;gFx;gFy;gFz;TgF
2,723000;-0,1333;0,7859;0,5732;0,982
2,724000;-0,1338;0,7864;0,5737;0,983
2,727000;-0,1304;0,7861;0,5763;0,983
2,732000;-0,1335;0,7861;0,5734;0,982
2,737000;-0,1352;0,7871;0,5746;0,984
2,743000;-0,1387;0,7869;0,5754;0,985
2,747000;-0,1438;0,7905;0,5839;0,993
2,753000;-0,1450;0,7910;0,5886;0,997
2,763000;-0,1504;0,7957;0,5873;1,000
2,764000;-0,1516;0,7949;0,5910;1,002
2,768000;-0,1509;0,7962;0,5859;1,000
2,775000;-0,1536;0,7957;0,5869;1,001
2,778000;-0,1521;0,7942;0,5888;1,000
